-1.29,4.97,-91.27
-1.67,4.91,-90.47
-0.98,5.35,-89.99
-0.84,5.25,-91.32
-0.84,5.00,-91.22
0.82,4.24,-90.14
2.15,4.79,-89.50
1.35,4.35,-88.59
0.72,3.67,-87.79
-0.62,4.25,-87.08
3.34,4.70,-89.29
6.76,4.37,-88.12
12.43,4.31,-83.97
17.07,4.63,-81.30
20.81,5.80,-76.87
24.16,6.30,-72.77
26.33,6.98,-66.88
28.66,7.12,-60.50
29.50,8.50,-55.35
28.55,8.97,-48.03
25.42,9.72,-39.95
18.59,9.34,-31.18
12.62,9.91,-29.03
9.79,8.69,-27.95
6.24,8.74,-27.04
-0.95,8.90,-25.90
-9.30,9.29,-26.50
-14.23,9.83,-26.76
-14.31,10.75,-25.84
-15.36,10.67,-25.83
-13.94,10.06,-26.46
-11.54,9.48,-25.74
-8.07,9.25,-25.81
-3.39,8.78,-25.12
2.81,8.19,-24.45
9.30,9.06,-26.23
14.69,8.73,-29.06
18.54,8.34,-31.71
22.17,8.34,-35.19
24.79,8.18,-37.94
26.98,9.12,-40.95
28.94,9.18,-44.81
29.85,7.84,-48.84
30.20,6.60,-54.48
28.61,6.58,-63.38
25.32,6.52,-70.79
21.07,6.01,-76.64
16.78,5.93,-78.58
13.39,6.46,-82.78
10.95,6.88,-84.23
7.59,6.56,-85.61
5.04,7.31,-86.15
2.32,7.54,-86.30
0.24,7.92,-88.76
-1.12,8.04,-87.49
-1.82,8.39,-87.43
-0.56,8.15,-87.18
1.51,7.46,-86.88
3.54,6.45,-86.49
6.45,5.99,-85.11
9.77,5.65,-83.34
12.65,5.24,-81.45
16.26,4.97,-78.34
19.17,4.46,-76.15
21.69,4.85,-71.61
23.75,4.08,-68.43
25.10,2.72,-63.85
26.18,1.66,-60.41
25.70,0.73,-57.25
25.67,1.67,-55.82
26.89,3.41,-56.38
28.72,6.20,-54.68
30.91,10.41,-53.45
31.92,15.22,-51.33
32.62,21.07,-51.78
31.80,28.59,-51.43
30.00,34.58,-54.02
27.03,39.65,-55.93
22.99,44.40,-55.20
19.30,48.17,-54.90
16.04,49.93,-55.59
15.87,50.05,-58.09
13.98,51.42,-59.06
13.04,51.83,-61.22
12.87,52.55,-59.79
14.43,51.29,-57.17
16.72,50.70,-57.75
21.45,46.34,-56.70
23.88,43.42,-55.38
26.72,38.82,-54.15
29.25,35.02,-52.89
31.14,28.36,-52.34
32.30,22.23,-50.39
30.99,15.08,-48.44
29.31,8.96,-47.07
26.97,4.39,-46.15
23.10,-1.11,-46.33
19.57,-4.61,-46.23
14.49,-7.24,-47.90
9.30,-9.36,-46.58
5.08,-10.82,-47.60
-1.77,-11.57,-47.73
-6.71,-11.98,-47.95
-10.42,-10.90,-47.92
-14.99,-10.17,-50.73
-17.79,-8.81,-49.62
-19.76,-8.15,-50.82
-19.29,-8.42,-50.84
-17.88,-8.53,-50.26
-12.21,-11.25,-51.70
-6.31,-11.85,-51.97
-0.16,-12.54,-51.17
6.04,-12.05,-50.28
10.39,-10.18,-52.64
15.53,-8.81,-53.00
19.45,-6.16,-53.77
22.41,-3.31,-52.99
25.50,0.92,-52.21
27.50,3.17,-51.78
28.12,5.52,-50.82
28.14,5.74,-49.83
28.05,6.27,-46.85
27.51,6.81,-44.23
25.43,6.29,-42.40
24.69,6.26,-40.73
22.68,6.53,-38.39
19.31,6.36,-33.69
14.54,6.64,-30.08
7.80,6.51,-28.09
2.78,7.17,-25.76
-1.23,8.11,-26.26
-5.25,8.70,-25.79
-7.25,9.56,-25.42
-8.72,9.25,-25.73
-9.74,9.05,-25.73
-9.91,8.95,-24.38
-8.53,8.46,-25.56
-5.47,8.34,-26.81
-0.94,7.96,-26.25
4.99,8.09,-25.62
10.89,8.22,-27.83
17.46,8.59,-31.20
23.07,8.22,-36.25
26.77,8.53,-42.44
27.53,6.63,-47.28
28.09,4.97,-52.36
27.95,4.26,-56.32
28.11,4.72,-58.12
27.04,5.53,-62.93
23.50,5.42,-70.54
19.60,6.04,-76.29
12.63,6.03,-80.60
7.35,6.67,-84.83
5.14,7.90,-85.67
2.06,8.09,-86.52
-0.31,9.45,-88.12
-1.86,9.40,-88.24
-1.18,10.21,-89.28
0.56,10.39,-89.38
2.14,9.30,-88.10
4.76,8.68,-87.40
6.88,6.68,-84.42
8.91,3.25,-81.99
12.85,2.93,-80.33
15.99,1.01,-75.02
18.44,-1.26,-71.87
20.08,-0.43,-69.14
20.01,-2.16,-68.68
18.31,-4.11,-65.42
21.33,-2.72,-64.39
22.55,-1.34,-60.93
24.00,-0.57,-58.91
26.00,2.34,-57.45
26.60,3.38,-57.50
28.19,5.87,-55.74
29.26,8.36,-55.15
30.76,11.17,-56.24
31.26,14.54,-54.04
30.65,20.63,-54.60
30.04,26.07,-55.33
28.41,31.02,-54.87
26.45,34.92,-54.97
23.55,38.44,-56.32
20.15,42.11,-56.80
16.69,44.30,-58.12
14.11,45.73,-57.03
12.94,46.28,-57.58
11.74,47.38,-58.61
11.06,47.81,-60.41
11.90,48.18,-59.57
15.38,45.54,-59.55
19.32,43.49,-58.86
23.54,38.05,-57.17
27.17,31.77,-56.73
29.80,25.48,-57.21
31.09,19.06,-56.08
30.14,10.73,-56.02
27.49,4.27,-56.27
23.11,-2.11,-56.71
17.09,-6.74,-56.52
11.02,-9.89,-54.91
5.08,-11.10,-53.83
-3.31,-11.18,-52.87
-8.28,-10.44,-51.83
-14.78,-9.03,-51.60
-18.26,-7.43,-50.74
-20.57,-5.51,-49.22
-22.55,-4.26,-51.20
-20.06,-5.53,-51.23
-14.01,-9.02,-52.58
-9.07,-10.38,-53.64
-0.02,-11.35,-55.53
6.91,-10.02,-56.40
14.54,-7.59,-56.02
20.08,-3.76,-55.03
24.13,1.10,-56.48
26.10,3.99,-57.65
28.02,7.19,-57.09
28.54,9.22,-56.69
29.10,11.43,-56.23
29.42,11.84,-56.13
29.28,12.27,-55.40
28.50,11.57,-53.88
28.19,11.21,-52.00
28.37,11.57,-51.15
27.16,10.60,-49.38
26.18,9.31,-48.23
25.76,8.53,-47.05
23.89,5.88,-48.62
26.88,-1.64,-62.84
54.49,-72.62,-186.47
399.99,399.99,399.99
399.99,-268.48,-27.67
-400.00,200.61,29.25
-53.44,-22.33,-95.00
-16.67,-12.95,-63.06
-26.70,-13.38,-57.01
-24.67,-16.88,-56.87
-29.76,-6.31,-36.72
-38.48,4.30,-2.12
-22.40,-1.05,0.44
-18.03,-15.92,0.96
6.09,-11.08,-13.81
2.47,1.57,-20.63
-0.15,1.90,-20.32
2.00,2.76,-20.06
5.66,4.17,-18.79
9.08,5.68,-20.01
12.30,6.07,-21.28
16.19,7.74,-22.77
20.76,9.58,-25.34
23.34,9.20,-30.36
27.50,11.38,-33.23
29.14,11.04,-39.15
30.88,13.24,-44.98
30.62,14.04,-52.99
26.94,11.16,-58.45
22.53,12.38,-65.30
16.91,12.38,-70.02
14.09,11.11,-71.45
11.80,10.30,-71.53
8.46,11.91,-75.20
5.00,11.36,-75.92
2.75,11.57,-76.53
1.57,11.85,-77.17
1.93,11.52,-75.65
3.08,11.99,-76.54
3.81,12.00,-76.66
6.43,12.39,-76.21
10.41,10.84,-75.77
14.29,9.12,-73.18
19.74,7.56,-67.10
22.86,5.83,-60.63
23.35,3.72,-58.08
22.08,1.23,-54.03
21.56,1.09,-51.67
22.31,0.31,-49.49
22.20,0.93,-49.00
24.80,2.97,-47.40
25.17,4.70,-48.06
27.83,7.04,-47.46
29.48,10.69,-47.91
30.18,14.12,-46.89
31.34,19.19,-48.21
31.34,24.19,-47.24
30.20,30.49,-47.27
28.00,37.76,-47.40
24.35,43.15,-45.98
20.91,47.09,-46.80
17.41,49.24,-48.91
14.50,51.48,-50.37
11.34,52.97,-52.55
9.22,54.35,-53.61
8.13,54.58,-51.87
9.23,54.63,-51.66
10.96,53.85,-52.11
14.73,50.39,-50.95
18.66,47.58,-50.38
23.46,42.14,-49.34
26.25,38.23,-49.12
29.03,31.96,-47.58
30.80,26.21,-47.19
30.36,18.09,-48.41
28.55,11.87,-49.83
25.26,5.15,-49.30
21.19,0.87,-51.27
17.43,-3.44,-49.51
11.67,-6.99,-49.93
5.24,-9.46,-48.03
-1.66,-10.07,-46.56
-7.46,-9.73,-45.31
-11.99,-9.46,-44.18
-15.78,-7.82,-44.48
-18.46,-6.62,-43.15
-20.89,-5.80,-42.99
-19.69,-6.38,-42.38
-15.87,-7.54,-43.68
-9.83,-9.11,-44.90
-4.30,-9.64,-45.04
3.19,-9.70,-48.02
10.53,-7.50,-47.51
15.37,-5.80,-48.45
18.43,-3.74,-48.51
22.07,-0.89,-50.24
25.10,4.15,-51.50
27.23,5.87,-49.28
26.87,6.74,-46.97
26.88,5.83,-44.92
25.17,4.20,-44.92
25.98,5.54,-44.69
26.43,5.47,-44.36
25.37,5.69,-43.97
26.05,6.35,-41.98
26.09,7.39,-39.97
25.54,7.56,-37.44
24.45,7.15,-37.12
23.32,7.57,-34.16
23.44,8.29,-32.84
21.62,6.96,-30.38
19.54,6.93,-29.50
18.66,6.70,-27.16
15.91,4.93,-25.22
12.55,3.28,-23.44
10.58,0.18,-23.27
8.58,-3.42,-21.72
7.86,-5.48,-22.45
7.25,-7.70,-23.35
7.41,-7.15,-24.18
9.07,-3.80,-24.40
9.79,-1.84,-27.11
14.81,3.54,-26.64
17.58,4.50,-29.90
21.07,5.35,-31.86
24.69,6.71,-35.34
26.17,5.40,-40.82
29.24,7.25,-44.46
29.91,5.63,-49.52
29.09,4.09,-55.16
28.33,3.99,-60.18
25.94,0.71,-64.21
22.97,1.04,-70.13
21.08,0.43,-73.56
17.52,0.70,-79.53
17.33,0.55,-80.24
17.60,2.67,-82.01
23.89,3.88,-86.82
35.63,8.67,-101.32
97.53,34.00,-167.82
356.34,189.21,31.68
79.91,399.99,399.99
-240.45,-265.76,-400.00
-40.99,-61.89,-161.05
-29.03,-55.80,-109.69
-1.33,-17.49,-83.85
7.59,1.73,-81.79
12.21,5.32,-75.89
15.63,6.16,-70.53
19.65,6.42,-66.11
22.51,4.96,-61.17
25.04,5.42,-57.43
26.21,5.47,-54.74
26.86,6.02,-52.15
27.19,6.05,-49.46
27.25,5.94,-47.46
26.99,5.73,-44.34
26.75,6.07,-45.30
26.28,5.90,-43.85
25.70,5.02,-44.09
25.81,5.42,-44.10
23.94,2.89,-43.97
22.74,0.72,-45.00
21.13,-0.67,-43.51
18.35,-3.47,-44.53
16.00,-4.93,-44.59
13.26,-7.12,-41.92
10.07,-8.98,-43.88
6.19,-10.21,-44.26
1.55,-11.33,-43.07
-1.56,-11.34,-43.09
-5.81,-11.38,-42.21
-10.07,-10.57,-40.94
-14.51,-9.28,-41.33
-17.68,-7.54,-39.92
-20.29,-6.45,-39.87
-21.75,-5.20,-39.64
-23.05,-4.69,-41.03
-21.62,-5.70,-40.54
-16.83,-8.18,-41.58
-11.54,-10.66,-42.09
-5.75,-11.17,-42.38
1.14,-11.12,-43.63
7.60,-9.45,-45.37
14.48,-6.84,-44.82
19.76,-3.19,-44.71
23.77,1.20,-44.95
27.60,6.08,-44.73
29.58,11.71,-44.25
31.01,18.38,-45.00
30.49,24.35,-44.59
29.76,30.73,-44.97
27.09,37.30,-45.52
23.02,42.50,-47.06
18.54,46.92,-48.10
14.90,49.00,-48.93
11.95,50.85,-49.48
10.28,51.03,-51.31
10.74,50.74,-52.17
12.83,50.40,-51.86
17.19,46.88,-51.67
21.97,42.99,-50.49
25.56,37.23,-50.01
28.34,31.18,-49.71
30.31,23.40,-48.96
29.82,15.80,-49.93
28.05,9.39,-50.37
26.87,6.12,-49.84
25.63,3.33,-49.10
25.90,2.66,-49.02
25.88,3.58,-47.63
26.72,3.12,-46.63
26.76,3.74,-45.00
26.55,4.52,-41.89
26.32,4.86,-40.00
25.72,5.82,-38.04
25.26,5.97,-35.46
22.55,5.30,-33.31
21.50,5.44,-31.57
19.07,4.81,-28.81
15.71,3.54,-27.28
12.54,2.19,-25.84
8.23,-0.55,-25.33
4.86,-2.27,-26.31
2.76,-4.03,-28.26
1.50,-5.16,-27.66
0.89,-6.40,-28.65
1.12,-6.04,-28.04
2.87,-4.46,-27.76
4.57,-2.42,-26.01
7.84,-0.67,-28.02
11.61,1.40,-27.92
14.98,2.70,-28.16
19.63,5.47,-30.29
21.36,4.68,-31.64
24.06,5.73,-35.16
27.33,7.12,-39.37
28.65,7.30,-44.64
28.98,7.65,-49.26
27.78,7.29,-54.16
